"
Number",Brand Name,Ctag,Photo,,Description,Grading,"Ecoring
Grading

",備考(付属品）,Cost(price after Tax),Befor Tax,125% Reference prices,Reserved price(指値),相場/Market price,委託番号,Retun check,1,2,3,Sales commission,result(after tax),Profit / Loss,Sold,C-tag scan,Buyer,Memo
34,Louis Vuitton,C200190,,ルイヴィトン ダミエ 手袋 グローブ ウール100%,Wool Petit Damier Gloves in Black,AB,B,,"¥30,800","¥28,000","¥35,000","¥35,000",,2240005517778,TRUE,,"9,000",990,8910,-21890,"-21,890",FALSE,C200190,,
35,No brand,C87825,,アクリス AKRIS スカート,Classic Gray Knee Length Skirt,AB,AB,,"¥2,350","¥2,136","¥2,670","¥10,000",,2240005517785,TRUE,,,990,-988.9,-3338.9,,FALSE,C87825,,AKRIS アクリス
36,Prada,C252269,,プラダ シルク スカーフ,Gold and black zebra pattern Silk Scarf,B+,B,,"¥6,325","¥5,750","¥7,188","¥12,000",,2240005517792,FALSE,"¥7,000",,990,6710,385,385,TRUE,C252269,,
37,Hermès,C249823,,エルメス ツイリー,Silk Jungle Love Twilly Black Multi,B+,B,,"¥13,200","¥12,000","¥15,000","¥15,000",,2240005517808,TRUE,"¥10,000","9,000",990,8910,-4290,"-3,190",FALSE,C249823,,
38,Hermès,C266775,,エルメス ツイリー,Silk Twilly Scarf,B,B,,"¥11,000","¥10,000","¥12,500","¥13,000",,2240005517815,TRUE,,"8,000",990,7810,-3190,"-4,290",FALSE,C266775,,
39,Hermès,C265681,,エルメス ツイリー,Les Leopards Silk Twilly Scarf,B+,B,,"¥12,100","¥11,000","¥13,750","¥15,000",,2240005517822,FALSE,"¥15,000",,1540,14960,2860,"2,860",TRUE,C265681,,
40,Salvatore Ferragamo,C252253,,フェラガモ シルク スカーフ,Red silk scarf with floral design,B+,B,,"¥2,300","¥2,091","¥2,614","¥8,000",,2240005517839,FALSE,"¥3,000",,990,2310,10,10,TRUE,C252253,,
41,Hermès,C262293,,エルメス ツイリー,Fuchsia twilly scarf with cloud design,AB,BC,,"¥15,862","¥14,420","¥18,025","¥18,000",,2240005517846,TRUE,"¥9,000","9,000",990,8910,-6952,"-6,952",FALSE,C262293,,
42,Louis Vuitton,C101857,,キーホルダー キーチャーム,Fuzzy V Fox Fur Bag Charm,AB,B,,"¥24,200","¥22,000","¥27,500","¥26,000",,2240005517853,TRUE,,"6,000",990,5610,-18590,"-18,590",FALSE,C101857,,
43,Hermès,C217580,,アジェンダ 手帳カバー,Yellow leather Agenda Cover,B+,B,Box,"¥10,197","¥9,270","¥11,588","¥12,000",,2240005517860,TRUE,"¥10,000","6,000",990,5610,-4587,"-1,287",FALSE,C217580,,
44,Chanel,C274012,,シャネル ピンク ラウンド ウォレット 長財布,"Wallet, Leather",B+,AB,,"¥28,325","¥25,750","¥32,188","¥32,000",,2240005517884,FALSE,"¥30,000",,1540,31460,"3,135","3,135",TRUE,C274012,,
45,Baccarat,C239939,,バカラ ネックレス,Crystal heart pendant on black cord Necklace,B+,B,,"¥9,706","¥8,824","¥11,030","¥12,000",,2240005517891,TRUE,"¥6,000",,990,5610,-4096,"-9,596",FALSE,C239939,,
46,Christian Dior,C225218,,ディオール ネックレス シェル,Heart and D Pendant Necklace,B+,,,"¥3,240","¥2,945","¥3,682","¥12,000",,,FALSE,,,990,-990,-4230,,FALSE,C225218,,
47,Christian Dior,C225941,,ディオール イヤリング,Vintage floral gold clip-on earrings,B+,B,,"¥7,560","¥6,873","¥8,591","¥10,000",,2240005517914,TRUE,"¥3,000","3,000",990,2310,-5250,"-5,250",FALSE,C225941,,
