"
Number",Brand Name,Ctag,Photo,,Description,Grading,"Ecoring
Grading

",備考(付属品）,Cost(price after Tax),Befor Tax,125% Reference prices,Reserved price(指値),相場/Market price,委託番号,Retun check,1,2,3,Sales commission,result(after tax),Profit / Loss,Sold,C-tag scan,Buyer,Memo
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
,,,,,,,,,,,,,,,FALSE,,,990,-990,-990,,,,,
