Number,Brand Name,Ctag,Photo,Description,Grading,Ecoring Grading,備考(付属品）,Cost(price after Tax),Befor Tax,125% Reference prices,Reserved price(指値),相場/Market price,委託番号,1,2,3,Sales commission,result(after tax),Profit / Loss,Sold,C-tag scan,Buyer,Memo
53,Gucci,C189116,,Tote Bag,,,,10395.0,,,25000.0,,,15000.0,,,1540.0,14960.0,4565.0,True,,,
54,Louis Vuitton,C252093,,"Crossbody Bag, Plastic",,,,43054.0,,,65000.0,,,,30000.0,53000.0,2640.0,55660.00000000001,13046.0,True,,,
55,Fendi,C251891,,"Handbag, Plastic",,,strap,1130.0,,,25000.0,,,,7000.0,,990.0,6710.000000000001,6020.0,True,,,
56,Gucci,C252913,,"Tote bag, Plastic",,,,13200.0,,,30000.0,,,,12000.0,,1540.0,11660.000000000002,-1100.0,True,,,
57,Christian Dior,C251036,,"Clutch Bag, Leather",,,,18461.0,,,30000.0,,,,,3000.0,990.0,2310.0000000000005,,False,,,
58,Louis Vuitton,C255550,,"Shoulder Bag, Leather",,,,29458.0,,,50000.0,,,33000.0,,,1540.0,34760.0,5302.0,True,,,
59,Givenchy,C245187,,"Handbag, Leather",,,,12430.0,,,35000.0,,,,12000.0,,1540.0,11660.000000000002,-330.0,True,,,
60,Prada,C226194,,"Handbag, Cotton",,,dustbag,16995.0,,,35000.0,,,,,1000.0,990.0,110.0,,False,,,
61,Valentino,C245752,,"Handbag, Leather",,,,30030.0,,,58000.0,,,31000.0,,,1540.0,32560.0,2530.0,True,,,
62,Louis Vuitton,C253766,,"Tote bag, Plastic",,,,32857.0,,,50000.0,,,26000.0,,,1540.0,27060.000000000004,-3597.0,True,,,
63,Celine,C246534,,"Tote bag, Plastic",,,,15820.0,,,30000.0,,,,7000.0,,990.0,6710.000000000001,-8670.0,True,,,
64,Burberry,C246122,,"Shoulder Bag, Plastic",,,,15015.0,,,30000.0,,,16000.0,,,1540.0,16060.0,1045.0,True,,,
65,Louis Vuitton,C231101,,"Key Case, Leather",,,,9350.0,,,20000.0,,,,,,,,,False,,,
66,Givenchy,C246637,,"Handbag, Leather",,,,18700.0,,,35000.0,,,,12000.0,,1540.0,11660.000000000002,-6600.0,True,,,
67,Louis Vuitton,C243653,,"Agenda Cover, Leather",,,,8250.0,,,20000.0,,,,2000.0,3000.0,990.0,2310.0000000000005,,False,,,
68,Louis Vuitton,C257928,,"Charm, Metal",,,box,14729.0,,,25000.0,,,22000.0,,,1540.0,22660.000000000004,7931.0,True,,,
69,Burberry,C167409,,"Drawstring backpack, Textured leather",,,dustbag,18128.0,,,50000.0,,,,,6000.0,990.0,5610.000000000001,,False,,,
70,No brand,C213928,,"Sunglasses, Plastic",,,,2160.0,,,10000.0,,,,,,,,,False,,,
71,Marc Jacobs,C239764,,"Sunglasses, Plastic",,,case,2750.0,,,12000.0,,,3000.0,,,990.0,2310.0000000000005,-440.0,True,,,
72,Gucci,C170570,,"Sunglasses, Plastic",,,,4320.0,,,20000.0,,,,4000.0,,990.0,3410.0,-470.0,True,,,
73,Versace,C160076,,"Sunglasses, Plastic and metal",,,,11440.0,,,25000.0,,,13000.0,,,1540.0,12760.000000000002,1320.0,True,,,
74,Gucci,C170279,,"Sunglasses, Plastic",,,,4950.0,,,20000.0,,,11000.0,,,1540.0,10560.000000000002,5610.0,True,,,
75,Gucci,C181840,,"Sunglasses, Plastic",,,,4950.0,,,20000.0,,,,4000.0,,990.0,3410.0,-1100.0,True,,,
76,Christian Dior,C156556,,"Sunglasses, Plastic",,,,16995.0,,,30000.0,,,,6000.0,,990.0,5610.000000000001,,False,,,
77,Christian Dior,C171737,,"Sunglasses, Plastic",,,case,3240.0,,,25000.0,,,,4000.0,,990.0,3410.0,610.0,True,,,
78,Ray-Ban,C217064,,"Sunglasses, Plastic",,,,3850.0,,,10000.0,,,4000.0,,,990.0,3410.0,-440.0,True,,,
79,Ray-Ban,C254090,,"Sunglasses, Metal",,,case,4400.0,,,25000.0,,,,4000.0,3000.0,990.0,2310.0000000000005,,False,,,
80,Chloe,C172148,,"Sunglasses, Plastic",,,,3300.0,,,10000.0,,,2222.0,,,990.0,1454.2000000000003,,False,,,
81,Gucci,C216186,,"Sunglasses, Plastic",,,,13596.0,,,20000.0,,,8000.0,7000.0,8000.0,990.0,7810.0,,False,,,
82,Chanel,C170453,,"Sunglasses, Coco mark, Plastic",,,,8000.0,,,25000.0,,,13000.0,,,1540.0,12760.000000000002,4760.0,True,,,
83,Chanel,C220693,,"Sunglasses, Plastic",,,,13560.0,,,30000.0,,,16000.0,,,1540.0,16060.0,2500.0,True,,,
84,Gucci,C15848,,Sunglasses,,,case,6480.0,,,15000.0,,,2000.0,2000.0,,990.0,1210.0,-4586.0,True,,,
85,Gucci,C215750,,"Sunglasses, Plastic",,,case,5000.0,,,15000.0,,,6000.0,,,990.0,5610.000000000001,610.0,True,,,
86,Chanel,C236933,,"Sunglasses, Plastic",,,,6930.0,,,23000.0,,,,6000.0,,990.0,5610.000000000001,-880.0,True,,,
87,Tom Ford,C236931,,"Sunglasses, Plastic",,,,6930.0,,,15000.0,,,6000.0,,,990.0,5610.000000000001,-1320.0,True,,,
88,Christian Dior,C211304,,"Sunglasses, Plastic",,,,5900.0,,,15000.0,,,4500.0,,,990.0,3960.0,-1940.0,True,,,
89,Gucci,C235085,,"Sunglasses, Plastic and metal",,,,9000.0,,,25000.0,,,,,,,,3760.0,True,,,
90,Gucci,C163521,,"Sunglasses, Plastic",,,case,8500.0,,,22000.0,,,,5000.0,,990.0,4510.0,-3550.0,True,,,
91,Gucci,C170954,,"Sunglasses, Rhinestone&Plastic",,,,8500.0,,,22000.0,,,,4000.0,3000.0,990.0,2310.0000000000005,,False,,,
92,Christian Dior,C180645,,"Sunglasses, Plastic",,,,1650.0,,,25000.0,,,,,2000.0,990.0,1210.0,0.0,True,,,
93,Salvatore Ferragamo,C177994,,"Sunglasses, Plastic",,,,5400.0,,,13000.0,,,2222.0,4000.0,,990.0,3410.0,-1550.0,True,,,
94,Louis Vuitton,C157722,,"Sunglasses, LV cup, Plastic",,,"case, dustbag",12100.0,,,30000.0,,,,,,,,3960.0,True,,,
95,Fendi,C171782,,"Sunglasses, Plastic",,,case,4320.0,,,20000.0,,,10000.0,,,990.0,10010.0,5690.0,True,,,
96,Chanel,C172901,,"Sunglasses, Metal and plastic",,,,5500.0,,,25000.0,,,13000.0,,,1540.0,12760.000000000002,7260.0,True,,,
97,Christian Dior,C173869,,"Sunglasses, Metal",,,,2748.9,,,22000.0,,,,,,,,,False,,,
98,Gucci,C174972,,"Sunglasses, Plastic",,,case,4400.0,,,23000.0,,,,4000.0,,990.0,3410.0,-550.0,True,,,
99,Fendi,C163800,,"Sunglasses, Plastic",,,case,11550.0,,,30000.0,,,,,7000.0,990.0,6710.000000000001,,False,,,
100,Christian Dior,C170627,,"Sunglasses, Plastic and metal",,,,2750.0,,,20000.0,,,,6000.0,,990.0,5610.000000000001,3300.0,True,,,
101,Chanel,C170450,,"Sunglasses, Plastic",,,,9000.0,,,25000.0,,,,4000.0,4000.0,990.0,3410.0,,False,,,
102,Christian Dior,C176467,,"Sunglasses, Plastic",,,,3850.0,,,20000.0,,,,,,,,,False,,,
103,Yves Saint Laurent,C164372,,"Sunglasses, Plastic",,,,6050.0,,,18000.0,,,2222.0,1000.0,,990.0,110.0,,False,,,
1,Salvatore Ferragamo,C180722,,"Pumps, Vara, Leather",,,"box, dustbag",540.0,,,5000.0,,,1000.0,2000.0,,990.0,1210.0,1110.0,True,,,
2,Salvatore Ferragamo,C180734,,"Shoes, Vara, Textured leather",,,box,2160.0,,,8000.0,,,3000.0,,,990.0,2310.0000000000005,150.0,True,,,
3,Lanvin,C189820,,"Footwear Covered, Leather",,,,6798.0,,,12000.0,,,,,,,,,False,,,
4,Celine,C212137,,"Heels, Leather",,,"box, dustbag",4532.0,,,10000.0,,,1000.0,2000.0,1000.0,990.0,110.0,,False,,,
5,Gucci,C260321,,"Loafers, Horsebit, Suede",,,,4462.0,,,10000.0,,,5000.0,,,990.0,4510.0,48.0,True,,,
6,Christian Louboutin,C209894,,"Footwear Covered, Leather",,,,8800.0,,,15000.0,,,4000.0,3000.0,3000.0,990.0,2310.0000000000005,,False,,,
7,Yves Saint Laurent,C179670,,"Heels, Suede",,,,540.0,,,6000.0,,,3000.0,,,990.0,2310.0000000000005,1770.0,True,,,
8,Giuseppe Zanotti,C211812,,"Footwear Covered, Leather",,,,9446.0,,,15000.0,,,,,,,,,False,,,
9,Anteprima,C71924,,"Heels, Varnished leather",,,,1.0,,,5000.0,,,,,,,,,False,,,
10,Gucci,C260324,,"Loafers, GG canvas, Canvas",,,,4462.0,,,11000.0,,,,1000.0,2000.0,990.0,1210.0,,False,,,
11,Versace,C78735,,"Sandals, Leather",,,,110.0,,,5000.0,,,1000.0,,,990.0,110.0,,False,,,
12,Gucci,C231896,,"Footwear Covered, Textile",,,,11000.0,,,19000.0,,,8000.0,7000.0,9000.0,990.0,8910.0,,False,,,
13,Chloe,C214945,,"Footwear Covered, Leather",,,dustbag,5500.0,,,12000.0,,,,,,,,,False,,,
14,Dolce & Gabbana,C236728,,"Shoes, Leather",,,,3575.0,,,8000.0,,,1000.0,1000.0,1000.0,990.0,110.0,,False,,,
15,Chanel,C260325,,"Shoes, Leather",,,,4760.0,,,9500.0,,,3000.0,,3000.0,990.0,2310.0000000000005,,False,,,
16,Chanel,C260317,,"Heels, Leather",,,dustbag,2380.0,,,15000.0,,,5000.0,,,990.0,4510.0,2130.0,True,,,
17,Maison Margiela,C153666,,"Shirt, Denim",,,,6050.0,,,12000.0,,,7000.0,,,990.0,6710.000000000001,660.0,True,,,
18,Hermès,C152370,,"Shirt, cotton",,,,18326.0,,,25000.0,,,15000.0,,10000.0,990.0,10010.0,,False,,,
19,Chanel,C171657,,"Skirt, Silk",,,,11000.0,,,20000.0,,,4000.0,2000.0,4000.0,990.0,3410.0,,False,,,
20,Gucci,C226868,,"Baseball cap, GG print, Nylon",,,,19690.0,,,25000.0,,,13000.0,,,1540.0,12760.000000000002,-6930.0,True,,,
21,Marc Jacobs,C218814,,Clothing,,,,11550.0,,,20000.0,,,1000.0,2000.0,3000.0,990.0,2310.0000000000005,,False,,,
22,Issei Miyake,C176786,,"Tops, polyester",,,,12100.0,,,20000.0,,,10000.0,,,990.0,10010.0,2860.0,True,,,
23,Louis Vuitton,C236725,,"Tops, Cotton",,,,3850.0,,,8000.0,,,6000.0,,,990.0,5610.000000000001,1760.0,True,,,
24,Louis Vuitton,C219013,,ショートパンツ,,,,12789.5,,,20000.0,,,10000.0,,,990.0,10010.0,-2779.5,True,,,
25,Etro,C251589,,"Scarf, Silk",,,,2300.0,,,12000.0,,,4000.0,,,990.0,3410.0,1110.0,True,,,
26,Gucci,C172829,,"Swimsuit, Nylon",,,,6325.0,,,12000.0,,,5000.0,,,990.0,4510.0,-1815.0,True,,,
27,Chanel,C175411,,"Shirt, Cotton",,,,23100.0,,,35000.0,,,24000.0,,,1540.0,24860.000000000004,1760.0,True,,,
28,Issei Miyake,C171710,,"Tops, polyester",,,,12000.0,,,20000.0,,,13000.0,,,1540.0,12760.000000000002,760.0,True,,,
29,Emilio Pucci,C171673,,"Shirt, Cotton",,,,13200.0,,,25000.0,,,18000.0,,,1540.0,18260.0,5060.0,True,,,
30,Hermès,C201502,,"Tops, Cotton",,,,6000.0,,,15000.0,,,4000.0,1000.0,4000.0,990.0,3410.0,,False,,,
31,Hermès,C242300,,"Tote bag, Cotton",,,,11000.0,,,18000.0,,,4000.0,6000.0,5000.0,990.0,4510.0,,False,,,
32,Chanel,C244864,,"Shoulder Bag, Leather",,,,59890.0,,,85000.0,,,73000.0,,,2640.0,77660.0,17770.0,True,,,
33,Givenchy,C228172,,"Handbag, Leather",,,dustbag,37400.0,,,50000.0,,,,,,,,,False,,,
34,Christian Dior,C227903,,"Handbag, Leather",,,,33000.0,,,55000.0,,,,,21000.0,1540.0,21560.000000000004,,False,,,
35,Celine,C243275,,"Pouch, Leather",,,dustbag,7700.0,,,20000.0,,,1000.0,1000.0,4000.0,990.0,3410.0,,False,,,
36,Chanel,C242108,,"Handbag, Nylon",,,dustbag,40700.0,,,65000.0,,,40000.0,,,1540.0,42460.0,7260.0,True,,,
