Number,Brand Name,Ctag,Photo,Description,Grading,Ecoring Grading,備考(付属品）,Cost(price after Tax),Befor Tax,125% Reference prices,Reserved price(指値),相場/Market price,委託番号,1,2,3,Sales commission,result(after tax),Profit / Loss,Sold,C-tag scan,Buyer,Memo
60,Chanel,C210847,rust,Accessory,,,box,54384.0,,,75000.0,,,40000.0,47000.0,38000.0,1540.0,40260.0,,False,,,
61,Chanel,C158063,"discoloration, slight sticky","Jacket, Suede",,,,25388.0,,,40000.0,,,27000.0,,,1540.0,28160.000000000004,2772.0,True,,,
62,Chanel,C233778,scratches,Accessory,,,,36160.0,,,50000.0,,,,21000.0,23000.0,1540.0,23760.000000000004,,False,,,
63,Chanel,C211353,,Accessory,,,,27140.0,,,40000.0,,,,,,,,15320.0,True,,,
64-1,Gucci,C214910,,Accessory,,,,13200.0,,,50000.0,,,,24000.0,22000.0,1540.0,22660.000000000004,,False,,,
64-2,Gucci,C218412,separate chanin,Accessory,,,,5500.0,,,,,,,,,,,,False,,,
64-3,Gucci,C124031,,"Necklace, Interlocking, Silver 925",,,,13596.0,,,,,,,,,,,,False,,,
64-4,Gucci,C260952,gray,"Necklace, Star of David, Silver 925",,,,5951.65,,,,,,,,,,,,False,,,
65,Chanel,C215007,"B, some scratches","Handbag, Leather",,,"dustcover, card, box",48719.0,,,60000.0,,,45000.0,,,1540.0,47960.00000000001,-759.0,True,,,
66,Celine,C244565,"Momo repaired, some stains","Handbag, Plastic",,,,17325.0,,,45000.0,,,23000.0,23000.0,,1540.0,23760.000000000004,20075.0,True,,,
67,Valentino,C244926,"Momo repaired, corner scuffed","Tote bag, Cotton",,,,37290.0,,,55000.0,,,42000.0,43000.0,45000.0,1540.0,47960.00000000001,11110.0,True,,,
68,Chanel,C237070,Momo repaired,"Shoulder Bag, Leather",,,dustcover,300580.0,,,380000.0,,,,,,,,,False,,,
69,Celine,C237834,Momo repaired,"Handbag, Cotton",,,,132825.0,,,190000.0,,,,,123000.0,2640.0,132660.0,,False,,,
70,Furla,C254089,"Momo repaired
B+","Handbag, Leather",,,dustcover,3300.0,,,25000.0,,,,,,,,,False,,,
71,Yves Saint Laurent,C254096,"Momo repaired
interior, exterior stains and scratches","Handbag, Leather",,,,61600.0,,,90000.0,,,57000.0,,59000.0,2640.0,62260.00000000001,,False,,,
