Number,Brand Name,Ctag,Photo,Description,Grading,Ecoring Grading,備考(付属品）,Cost(price after Tax),Befor Tax,125% Reference prices,Reserved price(指値),相場/Market price,委託番号,1,2,3,Sales commission,result(after tax),Profit / Loss,Sold,C-tag scan,Buyer,Memo
43,Givenchy,C242562,,"Handbag, Leather",,,"strap, dustbag",41810.0,,,50000,,,,18000.0,19000.0,1540.0,19360.0,,False,,,
44,Burberry,C219030,,"Shoulder bag, Leather",,,,9445.77,,,20000,,,2000.0,2000.0,,990.0,1210.0,-7795.77,True,,,interior BC
45,Valentino,C244986,, VLOGO leather shoulder bag,,,,13200.0,,,15000,,,7000.0,,,990.0,6710.000000000001,-5390.0,True,,,"separate corner, damaged fabric"
46,MCM,C245607,,"Shoulder bag, Monogram, Canvas and leather",,,,12705.0,,,23000,,,12000.0,,9000.0,990.0,8910.0,-3355.0,True,,,"interior stain, some crack B-"
47,Balenciaga,C174814,,"Clutch bag, Denim and leather",,,dustbag,27120.0,,,30000,,,23000.0,,,1540.0,23760.000000000004,-3360.0,True,,,B corner rub
48,Bottega Veneta,C243795,,"Tote bag, intrecciato, Leather",,,,74580.0,,,78000,,,52000.0,,,2640.0,54560.00000000001,,False,,,B-
49,Bulgari,C217072,,"Handbag, Cotton",,,,10450.0,,,15000,,,4000.0,2000.0,4000.0,990.0,3410.0,-6600.0,True,,,"stain, scuffed, B-"
50,Loewe,C247865,,"Clutch bag, Leather",,,,35200.0,,,50000,,,,16000.0,16000.0,1540.0,16060.0,,False,,,
51,Stella McCartney,C221145,,"Shoulder Bag, Leather",,,,23793.0,,,25000,,,13000.0,,,1540.0,12760.000000000002,-11033.0,True,,,"damaged exterior, powderly"
52,Chanel,C228419,,"Long wallet, Boy chanel, Lambskin",,,card,54384.0,,,70000,,,43000.0,,,1540.0,45760.00000000001,,False,,,corner scuffed
53,Chanel,C251533,,"Handbag, Leather",,,,135000.0,,,150000,,,91000.0,91000.0,97000.0,2640.0,104060.00000000001,,False,,,17~ Jonno wants no seal
54,Marc Jacobs,C218814,,Clothing,,,,11550.0,,,12000,,,,3000.0,,990.0,2310.0000000000005,,False,,,
55,Chanel,C171657,,"Skirt, Silk",,,,11000.0,,,15000,,,4000.0,3000.0,3000.0,990.0,2310.0000000000005,-8250.0,True,,,
56,Hermès,C152370,,"Shirt, cotton",,,,18326.0,,,20000,,,5000.0,7000.0,,990.0,6710.000000000001,-11176.0,True,,,
57,Vivienne Westwood,C238034,,Neckralace,,,dustbag,5400.0,,,10000,,,2000.0,1000.0,,990.0,110.0,,False,,,
58,Gucci,C210189,,Neckralace,,,dustbag,18362.4,,,30000,,,,9000.0,11000.0,1540.0,10560.000000000002,-7362.4,True,,,"metal ternished, scratches"
59,Baccarat,C215096,,Neckralace,,,,4000.0,,,15000,,,1000.0,2000.0,,990.0,1210.0,-2350.0,True,,,
60,Christian Dior,C258986,,"Necklace, Rhinestones and gold plated metal",,,,4320.0,,,8000,,,1000.0,1000.0,,990.0,110.0,,False,,,broken chain
1,Gucci,C187588,,"Handbag, GG crystal, Vinyl",,,,17600.0,,,15000,,,,1000.0,6000.0,990.0,5610.000000000001,-11550.0,True,,,interior stains
2,Fendi,C113673,,"2 way bag, Textured leather",,,,50600.0,,,45000,,,,18000.0,18000.0,1540.0,18260.0,,False,,,handles peeling
3,Chanel,C218531,,"Tote bag, Coco mark, Caviar skin",,,,158620.0,,,160000,,,,86000.0,,2640.0,91960.00000000001,,False,,,
4,Chanel,C208587,,"Tote Bag, New travel line",,,,17325.0,,,15000,,,4000.0,,,990.0,3410.0,-13915.0,True,,,"bottom damaged, handle separation"
