Number,Brand Name,Ctag,Photo,Description,Grading,Ecoring Grading,備考(付属品）,Cost(price after Tax),Befor Tax,125% Reference prices,Reserved price(指値),相場/Market price,委託番号,1,2,3,Sales commission,result(after tax),Profit / Loss,Sold,C-tag scan,Buyer,Memo
53.0,Hermès,C251347,interior scratches 全体擦れ傷（中）　角擦れ（小）　底鋲傷（中）　金具擦れ傷（小）　一部保護シール有　持ち手・ショルダー擦れ（小）　フラップ傷（中）　内側擦れ汚れ（小）,"Handbag, Leather",,,cadena,850000.0,,,1200000.0,,,706000.0,730000.0,930000.0,2640.0,1020360.0000000001,170800.0,True,,,
54.0,Louis Vuitton,C253869,,"Pouch, Plastic",,,,51980.0,,,80000.0,,,41000.0,42000.0,,1540.0,44660.00000000001,,False,,,
55.0,Hermès,C253867,,"Shoulder Bag, Leather",,,dustbag,188710.0,,,300000.0,,,181000.0,182000.0,,2640.0,197560.00000000003,,False,,,
56.0,Louis Vuitton,C226138,,"Handbag, Cotton",,,,103103.0,,,150000.0,,,105000.0,,,2640.0,112860.00000000001,28897.0,True,,,
57.0,Yves Saint Laurent,C252136,metal ternished,"Shoulder Bag, Leather",,,,52800.0,,,130000.0,,,86000.0,,,2640.0,91960.00000000001,39160.0,True,,,
58.0,Balenciaga,C253373,,"Clutch Bag, Cotton",,,,6050.0,,,35000.0,,,,,6000.0,990.0,5610.000000000001,,False,,,
59.0,Gucci,C251535,,"Tote Bag, Leather",,,,53000.0,,,95000.0,,,56000.0,54000.0,67000.0,2640.0,71060.0,,False,,,
60.0,Louis Vuitton,C253362,,"Pouch, Plastic",,,,42900.0,,,80000.0,,,42000.0,,,1540.0,44660.00000000001,,False,,,
1.0,Chanel,C218021,"interior cracks, slight scuffed 全体ヤケ擦れシワ(中) 角擦れ(中) 剥げ(小) ショルダーヤケ擦れ色褪せ(中) フラップ裏傷浮きシワ色褪せ(中) 内側擦れ剥げ(中) 汚れ(小) 外側ポケットヤケ変色(中) カビシミ汚れ(中)","Backpack, Leather",,,,419210.0,,,460000.0,,,460000.0,,,2640.0,503360.00000000006,84150.0,True,,,
2.0,Louis Vuitton,C227134,"entire scuff, darkning","Tote Bag, Leather",,,"pouch, dustcover",98571.0,,,140000.0,,,,,73000.0,2640.0,77660.0,,False,,,
3.0,Louis Vuitton,C214984,interior peeling,"Shoulder Bag, Leather",,,,33000.0,,,65000.0,,,,,28000.0,1540.0,29260.000000000004,-3300.0,True,,,
4.0,Louis Vuitton,C216691,"corner cracks, interior stains","Tote Bag, Leather",,,,88374.0,,,120000.0,,,,,69000.0,2640.0,73260.0,,False,,,
5.0,Chanel,C210234,interior exterior stains,Tote Bag,,,,34086.8,,,65000.0,,,,,,,,,False,,,
6.0,Chanel,C205072,coin mark,"Wallet, Leather",,,"card, dustbag, box",38115.0,,,70000.0,,,,,,,,,False,,,
7.0,Louis Vuitton,C241780,"corner scuffed, weak strap, pocket crack","Shoulder Bag, Plastic",,,,45100.0,,,75000.0,,,,41000.0,,1540.0,43560.00000000001,1100.0,True,,,
8.0,Gucci,C234698,interior peeling,"Shoulder Bag, Leather",,,,10000.1,,,35000.0,,,,,,,,999.9,True,,,
9.0,Valentino,C222546,corner scuffed,"Handbag, Leather",,,"dustbag, strap",122040.0,,,160000.0,,,,,,,,,False,,,
10.0,Louis Vuitton,C234241,"interior peeling, coin mark, exterior scuffed","Wallet, Plastic",,,"box, dustcover,",45045.0,,,70000.0,,,,43000.0,,1540.0,45760.00000000001,1155.0,True,,,
